1,Do you prefer a cable-free noise dosimeter?,detection,individual,Choose yes if you want a cable-free noise dosimeter clipped to the shoulder or no if you want a belt-mounted noise dosimeter with the microphone clipped to the shoulder.
2,Do you need your dosimeter to be certified intrinsically safe?,detection,individual,Choose yes if you need to assess potentially hazardous environments such as mines petrochemical sites and manufacturing facilities.
3,Do you need data logging capability for later analysis?,detection,individual,Choose yes if you want to retrieve download share and save instrument data with 3M™ Detection Management Software DMS.
4,Do you need to simultaneously monitor against four industry standards?,detection,individual,Choose 2 or 4 depending on how many independent dosimeters your application requires. This feature allows for simultaneous measurement within one instrument.
5,Choose the microphone type your application requires.,detection,individual,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
6,Do you need data logging capability for later analysis?,detection,task-based,Choose yes if you want to retrieve download share and save instrument data with 3M™ Detection Management Software DMS.
7,Do you need your dosimeter to be certified intrinsically safe?,detection,task-based,Choose yes if you need to assess potentially hazardous environments such as mines
8,Choose the microphone type your application requires.,detection,task-based,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
9,Do you need octave band analysis for evaluating effectiveness of noise controls?,detection,task-based,NULL
10,Choose the microphone type your application requires.,detection,task-based,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
11,Choose the microphone type your application requires.,detection,task-based,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
12,Do you need a removable preamp?,detection,task-based,A removable preamp gives you the flexibility to remotely enable interference-free monitoring in potentially hazardous areas.
13,Do you need data logging capability for later analysis?,detection,noise-control,Choose yes if you want to retrieve download share and save instrument data with 3M™ Detection Management Software DMS.
14,Choose the microphone type your application requires.,detection,noise-control,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
15,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,noise-control,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
16,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,noise-control,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
17,Choose the microphone type your application requires.,detection,noise-control,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
18,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,noise-control,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
19,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,noise-control,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
20,Do you need data logging capability for later analysis?,detection,environmental,Choose yes if you want to retrieve download share and save instrument data with 3M™ Detection Management Software DMS.
21,Choose the microphone type your application requires.,detection,environmental,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
22,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,environmental,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
23,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,environmental,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
24,Choose the microphone type your application requires.,detection,environmental,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
25,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,environmental,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
26,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,environmental,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
27,Choose the room acoustics your application requires.,detection,specialty,NULL
28,Choose the microphone type your application requires.,detection,specialty,Choosing the accuracy of your microphone depends on your application and the regulations you need to meet. Type 1 microphones are more accurate as defined by ANSI and IEC standards. Type 2 microphones are general purpose and are usually used for basic noise survey applications.
